techno-os-db  | 
techno-os-db  | PostgreSQL Database directory appears to contain a database; Skipping initialization
techno-os-db  | 
techno-os-db  | 2026-01-01 19:18:44.049 UTC [1] LOG:  starting PostgreSQL 15.15 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
techno-os-db  | 2026-01-01 19:18:44.049 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
techno-os-db  | 2026-01-01 19:18:44.049 UTC [1] LOG:  listening on IPv6 address "::", port 5432
techno-os-db  | 2026-01-01 19:18:44.059 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
techno-os-db  | 2026-01-01 19:18:44.072 UTC [29] LOG:  database system was shut down at 2026-01-01 19:17:40 UTC
techno-os-db  | 2026-01-01 19:18:44.083 UTC [1] LOG:  database system is ready to accept connections
